epoch,iteration,train_loss,val_loss,learning_rate,elapsed_time_s,val_RPA,val_RCA,val_OA,val_VR,val_VFA,skipped_steps,best
1.0,1218,0.0365469004450005,0.0023635467447660815,0.001,43.1,0.04599721463684719,0.046504954275871285,0.7977934246872256,0.04725780651186005,0.0002475886006335867,0,1
2.0,2436,0.0022809494035211444,0.0018429316314221053,0.001,100.0,0.18013504565690408,0.18154439531587474,0.8259622105453437,0.18657159007364174,0.001598881760399956,0,1
3.0,3654,0.001973632284241678,0.0016862601214810225,0.001,156.2,0.36825911391853045,0.3712796247885192,0.8653986910610478,0.37673642371838784,0.0025055592728862796,0,1
4.0,4872,0.001866067405285433,0.0016301479599648205,0.001,215.5,0.37636752292129066,0.37937303505977577,0.8663485896741917,0.38448243349453,0.0023648777564806655,0,1
5.0,6090,0.0018000881839610487,0.0016804792226940758,0.00098,271.9,0.3479392762709363,0.35116802411235265,0.8610146814560742,0.3567424141286657,0.0027642668500190526,0,0
6.0,7308,0.0017585904279735997,0.0015919619662088545,0.00098,331.0,0.5229576663953813,0.5273477592638705,0.896446470446709,0.537314507722321,0.00492750066133511,0,1
7.0,8526,0.0017262953228658609,0.0016010216550173381,0.00098,388.2,0.45547163561469434,0.45901515851488606,0.8826967720956566,0.46604224633492536,0.003405709920289182,0,0
8.0,9744,0.001695664642727647,0.0015779789412990331,0.00098,445.3,0.5355864789953874,0.5403734517086605,0.8994267172083164,0.5493153797402478,0.004426772023146255,0,1
9.0,10962,0.0016775915898068782,0.0015736630169075128,0.00098,491.7,0.34157427081184255,0.34431295950768326,0.8595780067719455,0.34907665349486144,0.002374409878600104,0,0
10.0,12180,0.0016585902388279107,0.0016089320339627304,0.0009603999999999999,547.2,0.506577329411195,0.5107261511153042,0.8932354171903376,0.5194067883113576,0.004316119567280282,0,0
11.0,13398,0.0016522646121021622,0.0016075377159437063,0.0009603999999999999,603.7,0.5357380789595425,0.5411693969290784,0.8990754369040161,0.5507094632208414,0.004966247726511564,0,1
12.0,14616,0.0016222014676852913,0.0015591612265698884,0.0009603999999999999,662.5,0.5850004308608712,0.5894830351102727,0.9092428274265931,0.5992711521196671,0.00494692395028297,0,1
13.0,15834,0.0016070527758566687,0.0015587528970788555,0.0009603999999999999,719.2,0.5328443172384807,0.536920412699696,0.8991473096344879,0.5442806925314086,0.004114225299750953,0,0
14.0,17052,0.0015988655114091079,0.001569640517396449,0.0009603999999999999,777.5,0.6194270776939029,0.6246099375683378,0.9160523299362698,0.6368822339484784,0.006291375537838629,0,1
15.0,18270,0.0015838258991779034,0.0015539188038880567,0.0009411919999999999,834.8,0.5455476421757341,0.5492599978131318,0.9011538156427058,0.5587047351663694,0.004536388219517884,0,0
16.0,19488,0.001573926229175174,0.0015592240870125975,0.0009411919999999999,894.2,0.5335573309725362,0.5373663627449278,0.8992419742408351,0.5451256713910902,0.004156851722599735,0,0
17.0,20706,0.001562211150573494,0.0015558742343041762,0.0009411919999999999,950.1,0.6452579161256848,0.6499778183782844,0.9210139634852039,0.6609115927534923,0.005932517170789708,0,1
18.0,21924,0.0015527346757434047,0.0015441868890157453,0.0009411919999999999,996.8,0.5633426474932839,0.5674621131823218,0.9048793981234312,0.5765536741082266,0.004943692428762477,0,0
19.0,23142,0.0015423284200770813,0.001584230732833156,0.0009411919999999999,1055.1,0.6220008740597901,0.6274115171129623,0.9165509026394191,0.638808233727914,0.006289114243961515,0,0
20.0,24360,0.00152975692969922,0.0015676765003616797,0.0009223681599999998,1114.0,0.5790599939790654,0.583526702595947,0.9078035103469304,0.5930705358996673,0.00501247159690808,0,0
21.0,25578,0.0015204657254930226,0.0015518144762979903,0.0009223681599999998,1170.5,0.5783823264803716,0.5827154834078782,0.9083758760331438,0.5920948926281292,0.004932058849953665,0,0
